UNIX_TS,WHE,RSE,GRE,MHE,B1E,BME,CWE,DWE,EQE,FRE,HPE,OFE,UTE,WOE,B2E,CDE,DNE,EBE,FGE,HTE,OUE,TVE,UNE,Hour,Weekday,Month,Season
1333267140,996,43,4,989,0,49,0,0,45,115,41,62,9,1,8,0,31,0,9,5,0,39,64,23,5,3,0
1333270740,607,43,4,562,0,7,0,0,45,115,41,19,9,1,8,0,9,0,7,5,0,39,58,0,6,4,1
1333274340,685,45,4,603,0,7,0,0,46,115,41,76,9,1,8,0,4,0,7,5,0,39,60,1,6,4,1
1333277940,603,43,4,560,0,7,0,0,47,115,41,60,9,0,8,0,1,0,7,5,0,39,61,2,6,4,1
1333281540,662,66,4,464,0,7,0,0,45,116,38,61,9,1,8,0,1,0,7,5,0,39,58,3,6,4,1
1333285140,598,45,4,438,0,7,0,0,46,116,42,61,9,1,8,0,1,0,7,5,0,39,59,4,6,4,1
1333288740,612,45,4,450,0,7,0,0,46,115,41,60,9,1,8,0,1,0,7,5,0,39,60,5,6,4,1
1333292340,566,43,4,525,0,7,0,0,46,115,39,68,9,1,8,0,1,0,145,5,0,38,54,6,6,4,1
1333295940,781,523,4,955,0,7,0,0,47,114,39,61,9,1,8,0,1,0,8,50,0,39,349,7,6,4,1
1333299540,977,507,2,768,0,7,0,0,45,114,38,62,9,1,8,0,0,0,8,5,0,38,77,8,6,4,1
1333303140,959,575,4,537,0,7,0,0,45,114,37,61,9,1,8,0,0,0,147,5,0,39,60,9,6,4,1
1333306740,932,566,4,549,0,7,0,0,46,114,39,61,9,1,8,0,0,0,147,5,0,39,64,10,6,4,1
1333310340,982,607,4,615,0,7,0,0,44,105,38,73,9,1,8,0,0,0,7,54,0,39,48,11,6,4,1
1333313940,996,621,4,590,0,7,0,0,45,111,38,61,9,0,8,0,0,0,80,5,0,39,68,12,6,4,1
1333317540,964,712,4,994,0,7,88,0,46,113,38,61,9,1,8,0,0,0,7,51,1,39,59,13,6,4,1
1333321140,950,710,4,997,0,81,95,0,47,105,38,60,9,1,72,0,0,0,7,5,3,39,95,14,6,4,1
1333324740,987,98,4,999,0,8,0,0,45,105,38,96,9,1,8,0,0,0,7,5,0,55,75,15,6,4,1
1333328340,996,502,4,722,0,7,0,0,46,113,38,79,9,1,8,0,0,0,143,5,0,49,82,16,6,4,1
1333331940,982,493,4,992,0,8,0,786,46,105,38,81,9,1,8,6,0,0,7,53,0,49,514,17,6,4,1
1333335540,7855,664,4,7067,21,7,0,780,45,104,38,207,9,0,8,4637,0,0,7,64,0,38,861,18,6,4,1
1333339140,3418,626,4,2923,21,7,0,740,46,104,37,25,9,0,8,0,42,0,7,6,0,37,760,19,6,4,1
1333342740,3482,628,4,991,21,440,0,2,46,112,38,24,9,1,8,0,21,0,7,46,0,394,568,20,6,4,1
1333346340,973,488,4,985,0,338,0,0,44,105,38,19,9,1,8,0,9,0,7,5,0,400,97,21,6,4,1
1333349940,987,43,4,994,0,359,0,0,45,112,39,19,9,0,8,5,7,0,7,5,0,39,52,22,6,4,1
1333353540,662,45,4,485,0,7,0,0,45,112,39,19,9,1,8,0,5,0,7,5,0,39,68,23,6,4,1
1333357140,722,43,4,557,0,7,0,0,46,112,38,19,9,1,8,0,2,0,147,5,0,40,94,0,0,4,1
1333360740,493,45,4,320,0,7,0,0,46,113,41,19,9,1,8,0,0,0,7,5,0,39,60,1,0,4,1
1333364340,749,45,4,578,0,7,0,0,45,113,38,19,9,1,8,0,0,0,7,5,0,39,59,2,0,4,1
