UNIX_TS,CWE,DWE,FRE,HPE,WOE,CDE,EBE,FGE,HTE,TVE,Hour,Weekday,Month,Season
1333267100.0,0.0,0.0,115.0,41.0,1.0,0.0,0.0,9.0,5.0,39.0,23,5,3,0
1333270700.0,0.0,0.0,115.0,41.0,1.0,0.0,0.0,7.0,5.0,39.0,0,6,4,1
1333274200.0,0.0,0.0,115.0,41.0,1.0,0.0,0.0,7.0,5.0,39.0,1,6,4,1
1333277800.0,0.0,0.0,115.0,41.0,0.0,0.0,0.0,7.0,5.0,39.0,2,6,4,1
1333281500.0,0.0,0.0,116.0,42.0,1.0,0.0,0.0,7.0,5.0,39.0,3,6,4,1
1333285100.0,0.0,0.0,116.0,38.0,1.0,0.0,0.0,7.0,5.0,39.0,4,6,4,1
1333288700.0,0.0,0.0,115.0,41.0,1.0,0.0,0.0,7.0,5.0,39.0,5,6,4,1
1333292300.0,0.0,0.0,115.0,39.0,1.0,0.0,0.0,145.0,5.0,38.0,6,6,4,1
1333295900.0,0.0,0.0,114.0,39.0,1.0,0.0,0.0,145.0,50.0,39.0,7,6,4,1
1333299500.0,0.0,0.0,114.0,38.0,1.0,0.0,0.0,8.0,5.0,38.0,8,6,4,1
1333303000.0,0.0,0.0,114.0,37.0,1.0,0.0,0.0,147.0,5.0,39.0,9,6,4,1
1333306600.0,0.0,0.0,114.0,39.0,1.0,0.0,0.0,147.0,5.0,39.0,10,6,4,1
1333310300.0,0.0,0.0,105.0,38.0,1.0,0.0,0.0,7.0,54.0,39.0,11,6,4,1
1333313900.0,0.0,0.0,111.0,38.0,0.0,0.0,0.0,80.0,5.0,39.0,12,6,4,1
1333317500.0,88.0,0.0,113.0,38.0,1.0,0.0,0.0,7.0,51.0,39.0,13,6,4,1
1333321100.0,95.0,0.0,105.0,38.0,1.0,0.0,0.0,7.0,5.0,39.0,14,6,4,1
1333324700.0,0.0,0.0,105.0,38.0,1.0,0.0,0.0,7.0,5.0,55.0,15,6,4,1
1333328300.0,0.0,0.0,113.0,38.0,1.0,0.0,0.0,143.0,5.0,49.0,16,6,4,1
1333331800.0,0.0,786.0,105.0,38.0,1.0,6.0,0.0,7.0,53.0,49.0,17,6,4,1
1333335400.0,0.0,780.0,104.0,38.0,0.0,4730.0,0.0,7.0,64.0,38.0,18,6,4,1
1333339100.0,0.0,745.0,104.0,37.0,0.0,0.0,0.0,7.0,6.0,37.0,19,6,4,1
1333342700.0,0.0,2.0,112.0,38.0,1.0,0.0,0.0,7.0,42.0,394.0,20,6,4,1
1333346300.0,0.0,0.0,105.0,38.0,1.0,0.0,0.0,7.0,5.0,400.0,21,6,4,1
1333349900.0,0.0,0.0,112.0,39.0,0.0,5.0,0.0,7.0,5.0,39.0,22,6,4,1
1333353500.0,0.0,0.0,112.0,39.0,1.0,0.0,0.0,7.0,5.0,39.0,23,6,4,1
1333357000.0,0.0,0.0,112.0,38.0,1.0,0.0,0.0,147.0,5.0,40.0,0,0,4,1
1333360600.0,0.0,0.0,113.0,41.0,1.0,0.0,0.0,7.0,5.0,39.0,1,0,4,1
1333364200.0,0.0,0.0,113.0,38.0,1.0,0.0,0.0,7.0,5.0,39.0,2,0,4,1
1333367900.0,0.0,0.0,112.0,39.0,1.0,0.0,0.0,150.0,5.0,39.0,3,0,4,1
1333371500.0,0.0,0.0,112.0,41.0,1.0,0.0,0.0,7.0,5.0,38.0,4,0,4,1
1333375100.0,0.0,0.0,112.0,38.0,0.0,0.0,0.0,7.0,5.0,38.0,5,0,4,1
1333378700.0,0.0,0.0,111.0,38.0,1.0,0.0,0.0,145.0,5.0,38.0,6,0,4,1
1333382300.0,0.0,0.0,111.0,38.0,0.0,0.0,0.0,6.0,5.0,38.0,7,0,4,1
1333385900.0,0.0,0.0,111.0,39.0,1.0,0.0,0.0,89.0,5.0,38.0,8,0,4,1
1333389400.0,0.0,0.0,111.0,38.0,1.0,0.0,0.0,144.0,50.0,39.0,9,0,4,1
1333393000.0,94.0,0.0,105.0,38.0,0.0,0.0,0.0,7.0,5.0,38.0,10,0,4,1
1333396700.0,91.0,0.0,113.0,38.0,1.0,0.0,0.0,7.0,5.0,38.0,11,0,4,1
1333400300.0,0.0,0.0,105.0,38.0,1.0,0.0,0.0,149.0,5.0,38.0,12,0,4,1
1333403900.0,0.0,0.0,114.0,38.0,1.0,0.0,0.0,7.0,5.0,38.0,13,0,4,1
1333407500.0,0.0,0.0,115.0,39.0,1.0,0.0,0.0,151.0,5.0,39.0,14,0,4,1
1333411100.0,0.0,0.0,114.0,38.0,1.0,0.0,0.0,6.0,5.0,49.0,15,0,4,1
1333414700.0,0.0,0.0,104.0,39.0,1.0,0.0,0.0,7.0,5.0,49.0,16,0,4,1
1333418200.0,0.0,0.0,115.0,38.0,1.0,7.0,0.0,7.0,5.0,39.0,17,0,4,1
1333421800.0,0.0,0.0,105.0,37.0,1.0,7.0,0.0,79.0,5.0,39.0,18,0,4,1
1333425500.0,0.0,0.0,105.0,37.0,1.0,6.0,0.0,7.0,5.0,39.0,19,0,4,1
1333429100.0,0.0,0.0,104.0,38.0,1.0,0.0,0.0,146.0,5.0,39.0,20,0,4,1
1333432700.0,0.0,0.0,116.0,39.0,1.0,0.0,0.0,7.0,5.0,39.0,21,0,4,1
1333436300.0,0.0,0.0,116.0,38.0,1.0,0.0,0.0,7.0,52.0,39.0,22,0,4,1
1333439900.0,0.0,0.0,115.0,38.0,1.0,0.0,0.0,142.0,5.0,40.0,23,0,4,1
1333443500.0,0.0,0.0,115.0,39.0,1.0,0.0,0.0,7.0,5.0,39.0,0,1,4,1
1333447000.0,0.0,0.0,115.0,41.0,1.0,0.0,0.0,7.0,5.0,40.0,1,1,4,1
1333450600.0,0.0,0.0,116.0,39.0,1.0,0.0,0.0,7.0,5.0,39.0,2,1,4,1
1333454300.0,0.0,0.0,115.0,39.0,1.0,0.0,0.0,7.0,5.0,41.0,3,1,4,1
1333457900.0,0.0,0.0,115.0,39.0,1.0,0.0,0.0,143.0,5.0,40.0,4,1,4,1
1333461500.0,0.0,0.0,115.0,38.0,1.0,0.0,0.0,147.0,5.0,40.0,5,1,4,1
1333465100.0,0.0,0.0,115.0,37.0,1.0,0.0,0.0,7.0,5.0,39.0,6,1,4,1
1333468700.0,0.0,0.0,115.0,995.0,0.0,0.0,0.0,7.0,56.0,39.0,7,1,4,1
1333472300.0,0.0,0.0,115.0,39.0,0.0,0.0,0.0,7.0,50.0,40.0,8,1,4,1
