DWE,FRE,CDE,TVE,Hour,Weekday,CWE
0.0,1.0,0.0,0.0,13.0,3.0,0.0
0.0,1.0,0.0,0.0,19.0,4.0,0.0
0.0,1.0,0.0,0.0,8.0,0.0,0.0
0.0,1.0,0.0,0.0,5.0,6.0,0.0
0.0,1.0,0.0,0.0,8.0,5.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,11.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,5.0,0.0
0.0,1.0,0.0,0.0,2.0,3.0,0.0
0.0,1.0,0.0,0.0,5.0,2.0,0.0
0.0,1.0,0.0,0.0,18.0,3.0,0.0
0.0,1.0,0.0,0.0,11.0,3.0,0.0
0.0,1.0,0.0,0.0,23.0,1.0,0.0
1.0,1.0,0.0,0.0,10.0,0.0,0.0
0.0,1.0,0.0,0.0,21.0,5.0,0.0
0.0,1.0,0.0,0.0,0.0,3.0,0.0
0.0,1.0,0.0,0.0,16.0,2.0,0.0
0.0,1.0,0.0,0.0,18.0,6.0,0.0
0.0,1.0,0.0,0.0,1.0,5.0,0.0
0.0,1.0,0.0,1.0,21.0,1.0,0.0
0.0,1.0,0.0,0.0,4.0,1.0,0.0
0.0,1.0,0.0,0.0,17.0,6.0,0.0
0.0,1.0,0.0,0.0,4.0,5.0,0.0
1.0,1.0,0.0,0.0,9.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,1.0,15.0,5.0,0.0
0.0,1.0,0.0,0.0,23.0,1.0,0.0
0.0,1.0,0.0,1.0,14.0,4.0,0.0
1.0,1.0,0.0,0.0,13.0,3.0,0.0
0.0,1.0,0.0,0.0,18.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,19.0,4.0,0.0
0.0,1.0,1.0,0.0,12.0,1.0,0.0
1.0,1.0,0.0,0.0,10.0,4.0,0.0
0.0,1.0,0.0,0.0,17.0,2.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,17.0,2.0,0.0
0.0,1.0,0.0,0.0,5.0,2.0,0.0
0.0,1.0,0.0,0.0,21.0,6.0,0.0
0.0,1.0,0.0,0.0,3.0,5.0,0.0
0.0,1.0,0.0,0.0,14.0,1.0,0.0
1.0,1.0,1.0,0.0,19.0,3.0,0.0
0.0,1.0,0.0,0.0,3.0,4.0,0.0
1.0,1.0,1.0,0.0,11.0,0.0,0.0
0.0,1.0,0.0,0.0,7.0,6.0,0.0
0.0,1.0,0.0,0.0,12.0,6.0,0.0
0.0,1.0,0.0,0.0,10.0,5.0,0.0
0.0,1.0,0.0,0.0,13.0,1.0,0.0
0.0,1.0,0.0,0.0,16.0,2.0,0.0
0.0,1.0,0.0,0.0,9.0,1.0,0.0
0.0,1.0,0.0,0.0,7.0,2.0,0.0
0.0,1.0,0.0,0.0,7.0,4.0,0.0
0.0,1.0,0.0,0.0,6.0,6.0,0.0
0.0,1.0,0.0,0.0,4.0,4.0,0.0
0.0,1.0,0.0,0.0,6.0,4.0,0.0
0.0,1.0,1.0,0.0,13.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,6.0,0.0
0.0,1.0,1.0,0.0,20.0,5.0,1.0
0.0,1.0,0.0,0.0,3.0,0.0,0.0
0.0,1.0,0.0,0.0,22.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,1.0,22.0,3.0,0.0
0.0,1.0,0.0,0.0,11.0,4.0,0.0
0.0,1.0,0.0,0.0,14.0,2.0,0.0
