DWE,WOE,CDE,TVE,Hour,Month,FGE
0.0,0.0,0.0,0.0,13.0,4.0,1.0
0.0,1.0,0.0,0.0,19.0,3.0,1.0
0.0,0.0,0.0,0.0,8.0,4.0,0.0
0.0,0.0,0.0,0.0,5.0,8.0,1.0
0.0,1.0,0.0,0.0,8.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0
0.0,1.0,0.0,0.0,11.0,10.0,1.0
0.0,1.0,0.0,0.0,1.0,5.0,1.0
0.0,0.0,0.0,0.0,2.0,1.0,1.0
0.0,0.0,0.0,0.0,5.0,4.0,0.0
0.0,1.0,0.0,0.0,18.0,9.0,0.0
0.0,1.0,0.0,0.0,11.0,10.0,1.0
0.0,1.0,0.0,0.0,23.0,1.0,0.0
1.0,0.0,0.0,0.0,10.0,10.0,0.0
0.0,1.0,0.0,0.0,21.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0
0.0,1.0,0.0,0.0,16.0,10.0,0.0
0.0,0.0,0.0,0.0,18.0,10.0,1.0
0.0,0.0,0.0,0.0,1.0,5.0,0.0
0.0,0.0,0.0,1.0,21.0,6.0,0.0
0.0,0.0,0.0,0.0,4.0,6.0,0.0
0.0,1.0,0.0,0.0,17.0,4.0,0.0
0.0,1.0,0.0,0.0,4.0,10.0,0.0
1.0,0.0,0.0,0.0,9.0,6.0,1.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0
0.0,1.0,0.0,1.0,15.0,10.0,1.0
0.0,0.0,0.0,0.0,23.0,1.0,0.0
0.0,0.0,0.0,1.0,14.0,10.0,0.0
1.0,1.0,0.0,0.0,13.0,9.0,1.0
0.0,1.0,0.0,0.0,18.0,11.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,19.0,11.0,0.0
0.0,0.0,1.0,0.0,12.0,3.0,0.0
1.0,1.0,0.0,0.0,10.0,6.0,0.0
0.0,1.0,0.0,0.0,17.0,4.0,0.0
0.0,1.0,0.0,0.0,1.0,10.0,1.0
0.0,1.0,0.0,0.0,17.0,1.0,1.0
0.0,1.0,0.0,0.0,5.0,11.0,0.0
0.0,1.0,0.0,0.0,21.0,5.0,1.0
0.0,1.0,0.0,0.0,3.0,4.0,0.0
0.0,0.0,0.0,0.0,14.0,9.0,0.0
1.0,1.0,1.0,0.0,19.0,10.0,0.0
0.0,1.0,0.0,0.0,3.0,5.0,0.0
1.0,0.0,1.0,0.0,11.0,4.0,0.0
0.0,1.0,0.0,0.0,7.0,3.0,1.0
0.0,1.0,0.0,0.0,12.0,12.0,0.0
0.0,1.0,0.0,0.0,10.0,12.0,1.0
0.0,1.0,0.0,0.0,13.0,8.0,1.0
0.0,0.0,0.0,0.0,16.0,8.0,0.0
0.0,1.0,0.0,0.0,9.0,12.0,1.0
0.0,0.0,0.0,0.0,7.0,11.0,0.0
0.0,1.0,0.0,0.0,7.0,7.0,0.0
0.0,0.0,0.0,0.0,6.0,1.0,0.0
0.0,0.0,0.0,0.0,4.0,11.0,0.0
0.0,0.0,0.0,0.0,6.0,11.0,0.0
0.0,0.0,1.0,0.0,13.0,7.0,0.0
0.0,1.0,0.0,0.0,0.0,8.0,0.0
0.0,1.0,0.0,0.0,0.0,11.0,0.0
0.0,1.0,1.0,0.0,20.0,11.0,0.0
