UNIX_TS,EBE,Hour,Weekday,Month,Season,HTE
1366322300.0,1.0,13.0,3.0,4.0,1.0,1.0
1394855800.0,0.0,19.0,4.0,3.0,0.0,1.0
1334595500.0,0.0,8.0,0.0,4.0,1.0,1.0
1376229500.0,0.0,5.0,6.0,8.0,2.0,1.0
1352566700.0,1.0,8.0,5.0,11.0,2.0,1.0
1369040300.0,1.0,0.0,0.0,5.0,1.0,1.0
1350331100.0,1.0,11.0,0.0,10.0,2.0,1.0
1337421400.0,0.0,1.0,5.0,5.0,1.0,1.0
1357815400.0,1.0,2.0,3.0,1.0,0.0,1.0
1366207100.0,1.0,5.0,2.0,4.0,1.0,1.0
1348801000.0,1.0,18.0,3.0,9.0,2.0,1.0
1382644700.0,0.0,11.0,3.0,10.0,2.0,1.0
1358323100.0,1.0,23.0,1.0,1.0,0.0,1.0
1382986600.0,0.0,10.0,0.0,10.0,2.0,1.0
1340517500.0,0.0,21.0,5.0,6.0,1.0,0.0
1342688300.0,0.0,0.0,3.0,7.0,1.0,1.0
1380761900.0,0.0,16.0,2.0,10.0,2.0,1.0
1381719400.0,0.0,18.0,6.0,10.0,2.0,1.0
1367661400.0,1.0,1.0,5.0,5.0,1.0,1.0
1370411900.0,1.0,21.0,1.0,6.0,1.0,1.0
1372165100.0,1.0,4.0,1.0,6.0,1.0,1.0
1333936600.0,0.0,17.0,6.0,4.0,1.0,1.0
1350737900.0,1.0,4.0,5.0,10.0,2.0,1.0
1372355800.0,1.0,9.0,3.0,6.0,1.0,1.0
1368521900.0,1.0,0.0,1.0,5.0,1.0,1.0
1351382300.0,1.0,15.0,5.0,10.0,2.0,1.0
1358927900.0,1.0,23.0,1.0,1.0,0.0,1.0
1382137100.0,0.0,14.0,4.0,10.0,2.0,1.0
1380232700.0,0.0,13.0,3.0,9.0,2.0,1.0
1352861800.0,1.0,18.0,1.0,11.0,2.0,1.0
1389693400.0,0.0,1.0,1.0,1.0,0.0,1.0
1383364700.0,0.0,19.0,4.0,11.0,2.0,1.0
1394571500.0,0.0,12.0,1.0,3.0,0.0,1.0
1371841000.0,1.0,10.0,4.0,6.0,1.0,1.0
1335405400.0,0.0,17.0,2.0,4.0,1.0,1.0
1349690200.0,1.0,1.0,0.0,10.0,2.0,1.0
1358992600.0,1.0,17.0,2.0,1.0,0.0,1.0
1353506300.0,1.0,5.0,2.0,11.0,2.0,1.0
1336975100.0,0.0,21.0,6.0,5.0,1.0,1.0
1365854300.0,1.0,3.0,5.0,4.0,1.0,1.0
1347404300.0,1.0,14.0,1.0,9.0,2.0,1.0
1382068700.0,0.0,19.0,3.0,10.0,2.0,1.0
1368187100.0,1.0,3.0,4.0,5.0,1.0,1.0
1335211100.0,0.0,11.0,0.0,4.0,1.0,1.0
1364140700.0,1.0,7.0,6.0,3.0,0.0,1.0
1356296300.0,1.0,12.0,6.0,12.0,3.0,1.0
1355597800.0,1.0,10.0,5.0,12.0,3.0,1.0
1377640700.0,0.0,13.0,1.0,8.0,2.0,1.0
1375923500.0,0.0,16.0,2.0,8.0,2.0,1.0
1356458200.0,1.0,9.0,1.0,12.0,3.0,1.0
1385567900.0,0.0,7.0,2.0,11.0,2.0,1.0
1341590300.0,0.0,7.0,4.0,7.0,1.0,1.0
1359298700.0,1.0,6.0,6.0,1.0,0.0,1.0
1353675500.0,1.0,4.0,4.0,11.0,2.0,1.0
1383317900.0,0.0,6.0,4.0,11.0,2.0,1.0
1374184700.0,0.0,13.0,3.0,7.0,1.0,1.0
1345712300.0,1.0,0.0,3.0,8.0,2.0,1.0
1352019500.0,1.0,0.0,6.0,11.0,2.0,1.0
1353819500.0,1.0,20.0,5.0,11.0,2.0,1.0
1390823800.0,0.0,3.0,0.0,1.0,0.0,1.0
1373007500.0,0.0,22.0,3.0,7.0,1.0,1.0
1356425900.0,1.0,0.0,1.0,12.0,3.0,1.0
1353049100.0,1.0,22.0,3.0,11.0,2.0,1.0
1348257500.0,1.0,11.0,4.0,9.0,2.0,1.0
1339628300.0,0.0,14.0,2.0,6.0,1.0,1.0
1385409500.0,0.0,11.0,0.0,11.0,2.0,1.0
1374551900.0,0.0,19.0,0.0,7.0,1.0,1.0
1383807500.0,0.0,22.0,2.0,11.0,2.0,1.0
1383753500.0,0.0,7.0,2.0,11.0,2.0,1.0
1334948200.0,0.0,10.0,4.0,4.0,1.0,1.0
1374224300.0,0.0,0.0,4.0,7.0,1.0,1.0
1337583500.0,0.0,22.0,6.0,5.0,1.0,1.0
1348426600.0,1.0,10.0,6.0,9.0,2.0,1.0
