CWE,FRE,CDE,EBE,TVE,Hour,Month,Season,HTE
0.0,0.0,0.0,0.0,0.0,0.39130434,0.27272728,0.33333334,0.0
0.0,1.0,0.0,0.0,0.0,0.04347826,0.6363636,0.6666667,0.0
1.0,1.0,1.0,0.0,0.0,0.73913044,0.09090909,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.36363637,0.33333334,0.0
0.0,0.0,0.0,0.0,0.0,0.5217391,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.08695652,0.36363637,0.33333334,0.0
0.0,0.0,0.0,1.0,0.0,0.3478261,0.27272728,0.33333334,0.0
0.0,1.0,0.0,0.0,0.0,0.73913044,0.72727275,0.6666667,0.0
0.0,0.0,0.0,1.0,0.0,0.826087,0.72727275,0.6666667,0.0
0.0,0.0,0.0,1.0,0.0,0.3478261,1.0,1.0,0.0
0.0,1.0,0.0,1.0,1.0,0.9130435,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3478261,0.8181819,0.6666667,0.0
0.0,0.0,0.0,0.0,0.0,0.95652175,0.45454547,0.33333334,0.0
0.0,0.0,0.0,0.0,0.0,0.04347826,0.5454545,0.33333334,0.0
0.0,0.0,0.0,0.0,0.0,0.13043478,0.18181819,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.08695652,0.45454547,0.33333334,0.0
0.0,0.0,0.0,1.0,0.0,0.04347826,0.36363637,0.33333334,0.0
0.0,1.0,0.0,0.0,0.0,0.47826087,0.09090909,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.13043478,0.45454547,0.33333334,0.0
0.0,0.0,0.0,0.0,0.0,0.7826087,0.27272728,0.33333334,0.0
0.0,0.0,0.0,1.0,0.0,0.08695652,0.8181819,0.6666667,0.0
0.0,1.0,0.0,0.0,0.0,0.6956522,0.72727275,0.6666667,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.36363637,0.33333334,0.0
0.0,0.0,0.0,0.0,0.0,0.5217391,0.6363636,0.6666667,0.0
0.0,0.0,0.0,0.0,0.0,0.826087,0.18181819,0.0,0.0
0.0,1.0,0.0,1.0,1.0,0.9130435,0.18181819,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.826087,0.8181819,0.6666667,0.0
0.0,1.0,0.0,1.0,0.0,0.6956522,0.9090909,0.6666667,1.0
1.0,1.0,0.0,0.0,0.0,0.65217394,0.72727275,0.6666667,1.0
0.0,1.0,0.0,1.0,0.0,0.17391305,0.18181819,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.18181819,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.39130434,0.45454547,0.33333334,0.0
0.0,0.0,0.0,0.0,0.0,0.7826087,0.27272728,0.33333334,1.0
0.0,0.0,0.0,1.0,0.0,0.47826087,0.9090909,0.6666667,0.0
0.0,0.0,0.0,0.0,0.0,0.5217391,0.5454545,0.33333334,0.0
0.0,0.0,0.0,1.0,0.0,0.13043478,0.9090909,0.6666667,0.0
0.0,0.0,0.0,0.0,1.0,0.95652175,0.36363637,0.33333334,0.0
0.0,0.0,0.0,1.0,0.0,0.5217391,0.09090909,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.65217394,0.72727275,0.6666667,0.0
0.0,0.0,0.0,0.0,0.0,0.6086957,0.8181819,0.6666667,0.0
0.0,0.0,0.0,1.0,0.0,0.73913044,0.18181819,0.0,0.0
