CWE,DWE,FRE,HPE,WOE,CDE,EBE,FGE,HTE,TVE,Hour,Weekday,Month,Season,clusters
17516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9130434999999999,0.0,0.18181819,0.0,0
3187,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.86956525,0.8333334000000001,0.6363635999999999,0.6666667,0
3188,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9130434999999999,0.8333334000000001,0.6363635999999999,0.6666667,0
3189,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.95652175,0.8333334000000001,0.6363635999999999,0.6666667,0
9356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9130434999999999,0.5,0.27272728,0.33333334,0
9357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.95652175,0.5,0.27272728,0.33333334,0
4749,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.95652175,0.0,0.8181819,0.6666667,0
9378,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8260870000000001,0.6666667,0.27272728,0.33333334,0
9379,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.86956525,0.6666667,0.27272728,0.33333334,0
9380,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.9130434999999999,0.6666667,0.27272728,0.33333334,0
1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65217394,1.0,0.36363637,0.33333334,0
1340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9130434999999999,0.8333334000000001,0.36363637,0.33333334,0
9381,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.95652175,0.6666667,0.27272728,0.33333334,0
4743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6956521999999999,0.0,0.8181819,0.6666667,0
4742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.65217394,0.0,0.8181819,0.6666667,0
9399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6956521999999999,0.8333334000000001,0.27272728,0.33333334,0
9405,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.95652175,0.8333334000000001,0.27272728,0.33333334,0
4724,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9130434999999999,1.0,0.8181819,0.6666667,0
3209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.7826086999999999,1.0,0.6363635999999999,0.6666667,0
9427,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.86956525,1.0,0.27272728,0.33333334,0
3210,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8260870000000001,1.0,0.6363635999999999,0.6666667,0
1339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.86956525,0.8333334000000001,0.36363637,0.33333334,0
9333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.95652175,0.33333334,0.27272728,0.33333334,0
9332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.9130434999999999,0.33333334,0.27272728,0.33333334,0
1362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8260870000000001,1.0,0.36363637,0.33333334,0
9254,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.65217394,1.0,0.27272728,0.33333334,0
9255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6956521999999999,1.0,0.27272728,0.33333334,0
3162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8260870000000001,0.6666667,0.6363635999999999,0.6666667,0
9260,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9130434999999999,1.0,0.27272728,0.33333334,0
3163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.86956525,0.6666667,0.6363635999999999,0.6666667,0
3164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9130434999999999,0.6666667,0.6363635999999999,0.6666667,0
3165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.95652175,0.6666667,0.6363635999999999,0.6666667,0
4844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9130434999999999,0.6666667,0.8181819,0.6666667,0
1387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.86956525,0.0,0.36363637,0.33333334,0
1386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8260870000000001,0.0,0.36363637,0.33333334,0
9282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8260870000000001,0.0,0.27272728,0.33333334,0
9283,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.86956525,0.0,0.27272728,0.33333334,0
9284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9130434999999999,0.0,0.27272728,0.33333334,0
9285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.95652175,0.0,0.27272728,0.33333334,0
4820,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9130434999999999,0.5,0.8181819,0.6666667,0
9307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.86956525,0.16666667,0.27272728,0.33333334,0
9308,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9130434999999999,0.16666667,0.27272728,0.33333334,0
9309,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.95652175,0.16666667,0.27272728,0.33333334,0
4795,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.86956525,0.33333334,0.8181819,0.6666667,0
